Actual,Predicted,Model
0,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
0,0,Logistic Regression
0,0,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
1,1,Logistic Regression
1,0,Logistic Regression
1,0,Logistic Regression
0,0,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,0,Logistic Regression
0,1,Logistic Regression
1,1,Logistic Regression
1,1,Logistic Regression
0,1,Logistic Regression
0,0,Logistic Regression
